Timestampe, Temperatura, Umiditate, Nivel UV, Toluen, Acetona, Amoniac, Alcool, Hidrogen, Dioxid de Carbon
108.15,27.3,56.6,1,24.6,73.74,21.36,307.17,-13.97,363.2
108.73,27.3,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
109.31,27.3,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
109.88,27.3,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
110.46,27.3,56.6,1,24.6,73.74,21.36,307.17,-13.97,363.2
111.04,27.3,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
111.61,27.3,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
112.18,27.3,56.6,1,24.6,73.74,21.36,307.17,-13.97,363.2
112.76,27.4,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
113.34,27.4,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
113.91,27.4,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
114.49,27.4,56.8,1,20.34,71.54,18.04,296.89,-18.23,350.97
115.06,27.4,57,1,24.6,73.74,21.36,307.17,-13.97,363.2
115.64,27.4,57,1,20.34,71.54,18.04,296.89,-18.23,350.97
116.21,27.4,57,1,20.34,71.54,18.04,296.89,-18.23,350.97
116.79,27.4,57,1,24.6,73.74,21.36,307.17,-13.97,363.2
117.36,27.4,57,1,24.6,73.74,21.36,307.17,-13.97,363.2
117.94,27.4,57,1,20.34,71.54,18.04,296.89,-18.23,350.97
118.51,27.4,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
119.09,27.4,57,1,20.34,71.54,18.04,296.89,-18.23,350.97
119.66,27.4,56.9,1,20.34,71.54,18.04,296.89,-18.23,350.97
120.24,27.4,56.9,1,20.34,71.54,18.04,296.89,-18.23,350.97
120.81,27.4,56.9,1,20.34,71.54,18.04,296.89,-18.23,350.97
121.39,27.4,56.9,1,20.34,71.54,18.04,296.89,-18.23,350.97
121.96,27.4,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
122.54,27.4,56.8,1,20.34,71.54,18.04,296.89,-18.23,350.97
123.12,27.4,56.8,1,20.34,71.54,18.04,296.89,-18.23,350.97
123.69,27.4,56.8,1,20.34,71.54,18.04,296.89,-18.23,350.97
124.27,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
124.84,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
125.42,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
125.99,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
126.57,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
127.14,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
127.72,27.4,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
128.29,27.4,56.7,1,16.02,69.3,14.68,286.47,-22.55,338.59
128.87,27.4,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
129.45,27.4,56.6,1,16.02,69.3,14.68,286.47,-22.55,338.59
130.02,27.4,56.6,1,28.81,75.92,24.63,317.32,-9.77,375.26
130.6,27.4,56.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
131.17,27.4,56.5,1,20.34,71.54,18.04,296.89,-18.23,350.97
131.75,27.4,56.5,1,20.34,71.54,18.04,296.89,-18.23,350.97
132.32,27.4,56.5,1,20.34,71.54,18.04,296.89,-18.23,350.97
132.9,27.4,56.5,1,16.02,69.3,14.68,286.47,-22.55,338.59
133.47,27.5,56.4,1,20.34,71.54,18.04,296.89,-18.23,350.97
134.05,27.5,56.4,1,16.02,69.3,14.68,286.47,-22.55,338.59
134.63,27.5,56.4,1,20.34,71.54,18.04,296.89,-18.23,350.97
135.2,27.5,56.4,1,16.02,69.3,14.68,286.47,-22.55,338.59
135.77,27.5,56.3,1,20.34,71.54,18.04,296.89,-18.23,350.97
136.35,27.5,56.3,1,20.34,71.54,18.04,296.89,-18.23,350.97
136.93,27.5,56.3,1,16.02,69.3,14.68,286.47,-22.55,338.59
137.5,27.5,56.3,1,16.02,69.3,14.68,286.47,-22.55,338.59
138.08,27.5,56.2,1,20.34,71.54,18.04,296.89,-18.23,350.97
138.65,27.5,56.2,1,16.02,69.3,14.68,286.47,-22.55,338.59
139.23,27.5,56.2,1,16.02,69.3,14.68,286.47,-22.55,338.59
139.8,27.5,56.2,1,16.02,69.3,14.68,286.47,-22.55,338.59
140.38,27.5,56.2,1,20.34,71.54,18.04,296.89,-18.23,350.97
140.96,27.5,56.2,1,16.02,69.3,14.68,286.47,-22.55,338.59
141.53,27.5,56.2,1,20.34,71.54,18.04,296.89,-18.23,350.97
142.11,27.5,56.2,1,16.02,69.3,14.68,286.47,-22.55,338.59
142.68,27.5,56.1,1,16.02,69.3,14.68,286.47,-22.55,338.59
143.26,27.5,56.1,1,16.02,69.3,14.68,286.47,-22.55,338.59
143.83,27.5,56.1,1,16.02,69.3,14.68,286.47,-22.55,338.59
144.41,27.5,56.1,1,16.02,69.3,14.68,286.47,-22.55,338.59
144.98,27.5,56.1,1,16.02,69.3,14.68,286.47,-22.55,338.59
145.56,27.5,56.1,1,11.65,67.04,11.28,275.91,-26.92,326.04
146.71,27.5,56.1,1,16.02,69.3,14.68,286.47,-22.55,338.59
147.28,27.5,56,1,16.02,69.3,14.68,286.47,-22.55,338.59
147.86,27.5,56,1,16.02,69.3,14.68,286.47,-22.55,338.59
148.44,27.5,56,1,11.65,67.04,11.28,275.91,-26.92,326.04
149.01,27.5,56,1,11.65,67.04,11.28,275.91,-26.92,326.04
149.59,27.5,55.9,1,16.02,69.3,14.68,286.47,-22.55,338.59
150.16,27.5,55.9,1,11.65,67.04,11.28,275.91,-26.92,326.04
150.74,27.5,55.9,1,11.65,67.04,11.28,275.91,-26.92,326.04
151.31,27.5,55.9,1,11.65,67.04,11.28,275.91,-26.92,326.04
151.89,27.6,55.9,1,16.02,69.3,14.68,286.47,-22.55,338.59
152.47,27.6,55.9,1,16.02,69.3,14.68,286.47,-22.55,338.59
153.04,27.6,55.9,1,20.34,71.54,18.04,296.89,-18.23,350.97
153.62,27.6,55.9,1,11.65,67.04,11.28,275.91,-26.92,326.04
154.19,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
154.77,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
155.34,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
155.92,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
156.49,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
157.07,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
157.64,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
158.22,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
158.79,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
159.37,27.6,55.8,1,7.21,64.74,7.83,265.2,-31.36,313.31
159.94,27.6,55.8,1,7.21,64.74,7.83,265.2,-31.36,313.31
160.52,27.6,55.8,1,7.21,64.74,7.83,265.2,-31.36,313.31
161.09,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
161.67,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
162.24,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
162.82,27.6,55.8,1,11.65,67.04,11.28,275.91,-26.92,326.04
163.39,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
163.97,27.7,55.7,1,7.21,64.74,7.83,265.2,-31.36,313.31
164.54,27.7,55.7,1,16.02,69.3,14.68,286.47,-22.55,338.59
165.12,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
165.69,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
166.27,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
166.84,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
167.42,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
167.99,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
168.57,27.7,55.7,1,7.21,64.74,7.83,265.2,-31.36,313.31
169.14,27.7,55.7,1,7.21,64.74,7.83,265.2,-31.36,313.31
169.71,27.7,55.7,1,11.65,67.04,11.28,275.91,-26.92,326.04
170.29,27.7,55.6,1,16.02,69.3,14.68,286.47,-22.55,338.59
170.87,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
171.44,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
173.75,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
174.32,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
174.89,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
175.47,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
176.05,27.7,55.6,1,20.34,71.54,18.04,296.89,-18.23,350.97
176.62,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
177.2,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
177.77,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
178.35,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
178.92,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
179.5,27.7,55.6,1,16.02,69.3,14.68,286.47,-22.55,338.59
180.08,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
180.65,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
181.23,27.7,55.6,1,11.65,67.04,11.28,275.91,-26.92,326.04
181.8,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
182.38,27.8,55.5,1,7.21,64.74,7.83,265.2,-31.36,313.31
182.95,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
183.52,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
184.1,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
184.68,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
185.25,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
185.83,27.8,55.5,1,11.65,67.04,11.28,275.91,-26.92,326.04
186.4,27.8,55.4,1,11.65,67.04,11.28,275.91,-26.92,326.04
186.98,27.8,55.4,1,7.21,64.74,7.83,265.2,-31.36,313.31
187.55,27.8,55.4,1,20.34,71.54,18.04,296.89,-18.23,350.97
188.13,27.8,55.4,1,11.65,67.04,11.28,275.91,-26.92,326.04
188.7,27.8,55.3,1,11.65,67.04,11.28,275.91,-26.92,326.04
189.28,27.8,55.3,1,7.21,64.74,7.83,265.2,-31.36,313.31
189.85,27.8,55.3,1,7.21,64.74,7.83,265.2,-31.36,313.31
190.42,27.8,55.3,1,7.21,64.74,7.83,265.2,-31.36,313.31
191,27.8,55.2,1,11.65,67.04,11.28,275.91,-26.92,326.04
191.58,27.8,55.2,1,7.21,64.74,7.83,265.2,-31.36,313.31
192.15,27.8,55.2,1,7.21,64.74,7.83,265.2,-31.36,313.31
192.72,27.8,55.2,1,7.21,64.74,7.83,265.2,-31.36,313.31
193.29,27.9,55.1,1,11.65,67.04,11.28,275.91,-26.92,326.04
193.87,27.9,55.1,1,7.21,64.74,7.83,265.2,-31.36,313.31
194.44,27.9,55.1,1,2.72,62.41,4.34,254.35,-35.85,300.42
195.01,27.9,55.1,1,2.72,62.41,4.34,254.35,-35.85,300.42
195.59,27.8,55.1,1,7.21,64.74,7.83,265.2,-31.36,313.31
196.16,27.8,55.1,1,7.21,64.74,7.83,265.2,-31.36,313.31
196.74,27.8,55.1,1,7.21,64.74,7.83,265.2,-31.36,313.31
197.31,27.8,55.1,1,7.21,64.74,7.83,265.2,-31.36,313.31
197.88,27.8,55,1,7.21,64.74,7.83,265.2,-31.36,313.31
199.6,27.8,55,1,2.72,62.41,4.34,254.35,-35.85,300.42
200.17,27.9,54.9,1,7.21,64.74,7.83,265.2,-31.36,313.31
200.75,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
201.32,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
201.89,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
202.47,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
203.04,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
203.62,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
204.19,27.9,54.9,1,7.21,64.74,7.83,265.2,-31.36,313.31
204.76,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
205.34,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
205.91,27.9,54.9,1,2.72,62.41,4.34,254.35,-35.85,300.42
206.48,27.9,54.9,1,-1.84,60.05,0.79,243.35,-40.41,287.35
207.05,27.9,54.8,1,2.72,62.41,4.34,254.35,-35.85,300.42
207.63,27.9,54.8,1,-1.84,60.05,0.79,243.35,-40.41,287.35
208.2,27.9,54.8,1,2.72,62.41,4.34,254.35,-35.85,300.42
208.77,27.9,54.8,1,-1.84,60.05,0.79,243.35,-40.41,287.35
209.35,27.9,54.8,1,2.72,62.41,4.34,254.35,-35.85,300.42
209.92,27.9,54.8,1,-1.84,60.05,0.79,243.35,-40.41,287.35
210.5,27.9,54.8,1,-1.84,60.05,0.79,243.35,-40.41,287.35
211.07,27.9,54.8,1,-1.84,60.05,0.79,243.35,-40.41,287.35
